instances,timepoints,var_0,var_1,var_2,var_3,var_4,var_5,label
1,0,0,10,0,10,2,6,8
1,1,0,10,0,0,1,6,8
1,2,0,10,0,0,1,6,8
1,3,0,10,0,0,1,6,8
1,4,0,10,0,0,1,6,8
1,5,0,10,0,0,1,6,8
1,6,0,10,0,0,1,6,8
1,7,0,10,0,0,1,6,8
1,8,0,10,0,0,1,6,8
1,9,0,10,0,0,1,6,8
1,10,0,10,0,0,1,6,8
1,11,0,10,0,0,1,6,8
1,12,0,10,0,0,1,6,8
1,13,0,10,0,0,1,6,8
1,14,0,10,0,0,1,6,8
1,15,0,10,0,0,1,6,8
1,16,0,10,0,0,1,6,8
1,17,0,10,0,0,1,6,8
1,18,0,10,0,0,1,6,8
1,19,0,10,0,0,1,6,8
1,20,0,10,0,0,1,6,8
1,21,0,10,0,0,1,6,8
1,22,0,10,0,0,1,6,8
1,23,0,10,0,0,1,6,8
1,24,0,10,0,0,1,6,8
1,25,0,10,0,0,1,6,8
1,26,0,10,0,0,1,6,8
1,27,0,10,0,0,1,6,8
1,28,0,10,0,0,1,6,8
1,29,0,10,0,0,1,6,8
1,30,0,10,0,0,1,6,8
1,31,0,10,0,0,1,6,8
1,32,0,10,0,0,1,6,8
1,33,0,10,0,0,1,6,8
1,34,0,10,0,0,1,6,8
1,35,0,10,0,0,1,6,8
1,36,0,10,0,0,1,6,8
1,37,0,10,0,0,1,6,8
1,38,0,10,0,0,1,6,8
1,39,0,10,0,0,1,6,8
1,40,0,10,0,0,1,6,8
1,41,0,10,0,0,1,6,8
1,42,0,10,0,0,1,6,8
1,43,0,10,0,0,1,6,8
1,44,0,10,0,0,1,6,8
1,45,0,10,0,0,1,6,8
1,46,0,10,0,0,1,6,8
1,47,0,10,0,0,1,6,8
1,48,0,10,0,0,1,6,8
1,49,0,10,0,0,1,6,8
1,50,0,10,0,0,1,6,8
1,51,0,10,0,0,1,6,8
1,52,0,10,0,0,1,6,8
1,53,0,10,0,0,1,6,8
1,54,0,10,0,0,1,6,8
1,55,0,10,0,0,1,6,8
1,56,0,10,0,0,1,6,8
1,57,0,10,0,0,1,6,8
1,58,0,10,0,0,1,6,8
1,59,0,10,0,0,1,6,8
1,60,0,10,0,0,1,6,8
1,61,0,10,0,0,1,6,8
1,62,0,10,0,0,1,6,8
1,63,0,10,0,0,1,6,8
1,64,0,10,0,0,1,6,8
1,65,0,10,0,0,1,6,8
1,66,0,10,0,0,1,6,8
1,67,0,10,0,0,1,6,8
1,68,0,10,0,0,1,6,8
1,69,0,10,0,0,1,6,8
1,70,0,10,0,0,1,6,8
1,71,0,10,0,0,1,6,8
1,72,0,10,0,0,1,6,8
1,73,0,10,0,0,1,6,8
1,74,0,10,0,0,1,6,8
1,75,0,10,0,0,1,6,8
1,76,0,10,0,0,1,6,8
1,77,0,10,0,0,1,6,8
1,78,0,10,0,0,1,6,8
1,79,0,10,0,0,1,6,8
1,80,0,10,0,0,1,6,8
1,81,0,10,0,0,1,6,8
1,82,0,10,0,0,1,6,8
1,83,0,10,0,0,1,6,8
1,84,0,10,0,0,1,6,8
1,85,0,10,0,0,1,6,8
1,86,0,10,0,0,1,6,8
1,87,0,10,0,0,1,6,8
1,88,0,10,0,0,1,6,8
1,89,0,10,0,0,1,6,8
1,90,0,10,0,0,1,6,8
1,91,0,10,0,0,1,6,8
1,92,0,10,0,0,1,6,8
1,93,0,10,0,0,1,6,8
1,94,0,10,0,0,1,6,8
1,95,0,10,0,0,1,6,8
1,96,0,10,0,0,1,6,8
1,97,0,10,0,0,1,6,8
1,98,0,10,0,0,1,6,8
1,99,0,10,0,0,1,6,8
1,100,0,10,0,0,1,6,8
1,101,0,10,0,0,1,6,8
1,102,0,10,0,0,1,6,8
1,103,0,10,0,0,1,6,8
1,104,0,10,0,0,1,6,8
1,105,0,10,0,0,1,6,8
1,106,0,10,0,0,1,6,8
1,107,0,10,0,0,1,6,8
1,108,0,10,0,0,1,6,8
1,109,0,10,0,0,1,6,8
1,110,0,10,0,0,1,6,8
1,111,0,10,0,0,1,6,8
1,112,0,10,0,0,1,6,8
1,113,0,10,0,0,1,6,8
1,114,0,10,0,0,1,6,8
1,115,0,10,0,0,1,6,8
1,116,0,10,0,0,1,6,8
1,117,0,10,0,0,1,6,8
1,118,0,10,0,0,1,6,8
2,0,0,7.19,0,7.19,2,6,8
2,1,0,7.19,0,0,1,6,8
2,2,0,7.19,0,0,1,6,8
2,3,0,7.19,0,0,1,6,8
2,4,0,7.19,0,0,1,6,8
2,5,0,7.19,0,0,1,6,8
2,6,0,7.19,0,0,1,6,8
2,7,0,7.19,0,0,1,6,8
2,8,0,7.19,0,0,1,6,8
2,9,0,7.19,0,0,1,6,8
2,10,0,7.19,0,0,1,6,8
2,11,0,7.19,0,0,1,6,8
2,12,0,7.19,0,0,1,6,8
2,13,0,7.19,0,0,1,6,8
2,14,0,7.19,0,0,1,6,8
2,15,0,7.19,0,0,1,6,8
2,16,0,7.19,0,0,1,6,8
2,17,0,7.19,0,0,1,6,8
2,18,0,7.19,0,0,1,6,8
2,19,0,7.19,0,0,1,6,8
2,20,0,7.19,0,0,1,6,8
2,21,0,7.19,0,0,1,6,8
2,22,0,7.19,0,0,1,6,8
2,23,0,7.19,0,0,1,6,8
2,24,0,7.19,0,0,1,6,8
2,25,0,7.19,0,0,1,6,8
2,26,0,7.19,0,0,1,6,8
2,27,0,7.19,0,0,1,6,8
2,28,0,7.19,0,0,1,6,8
2,29,0,7.19,0,0,1,6,8
2,30,0,7.19,0,0,1,6,8
2,31,0,7.19,0,0,1,6,8
2,32,0,7.19,0,0,1,6,8
2,33,0,7.19,0,0,1,6,8
2,34,0,7.19,0,0,1,6,8
2,35,0,7.19,0,0,1,6,8
2,36,0,7.19,0,0,1,6,8
2,37,0,7.19,0,0,1,6,8
2,38,0,7.19,0,0,1,6,8
2,39,0,7.19,0,0,1,6,8
2,40,0,7.19,0,0,1,6,8
2,41,0,7.19,0,0,1,6,8
2,42,0,7.19,0,0,1,6,8
2,43,0,7.19,0,0,1,6,8
2,44,0,7.19,0,0,1,6,8
2,45,0,7.19,0,0,1,6,8
2,46,0,7.19,0,0,1,6,8
2,47,0,7.19,0,0,1,6,8
2,48,0,7.19,0,0,1,6,8
2,49,0,7.19,0,0,1,6,8
2,50,0,7.19,0,0,1,6,8
2,51,0,7.19,0,0,1,6,8
2,52,0,7.19,0,0,1,6,8
2,53,0,7.19,0,0,1,6,8
2,54,0,7.19,0,0,1,6,8
2,55,0,7.19,0,0,1,6,8
2,56,0,7.19,0,0,1,6,8
2,57,0,7.19,0,0,1,6,8
2,58,0,7.19,0,0,1,6,8
